AVG Rank	Position	Name	School	Age on  Week 1	Player Notes or     Red Flags	Height	Weight	Hand	Arm	Wing	40 yd Dash	10 yd Split	Vert Jump	Broad Jump	3 Cone	Shuttle	Bench
395	S	Shilo Sanders	Colorado	25.57	Older Prospect 25+	6' 0"	195										
396	OL	Hayden Conner	Texas			6' 6"	314	9 5/8"	33 1/4"	79 5/8"					7.90	4.88	
397	TE	Rivaldo Fairweather	Auburn	23.21		6' 3 1/8"	246	9 4/8"	34 1/4"	83 1/8"							
398	LB	David Gbenda	Texas			6' 0"	236										
399	DL	Thor Griffen	Louisville			6' 2"	320										
400	DL	Joe Evans	UT-San Antonio			6' 2 1/4"	337	9 5/8"	34"	81"							
401	DB	David Spaulding	South Carolina			6' 1"	197										
402	WR	Andrew Armstrong	Arkansas	24.84	Age 24	6' 3 3/4"	202	9 5/8"	32 1/8"	79 1/2"	4.51	1.53	37.5"	10'04"	6.97	4.18	11
403	OT	Jordan Williams	Georgia Tech			6' 5 1/2"	321	9 5/8"	33 3/8"	80 5/8"							
404	OL	Esa Pole	Washington State			6' 7"	320	9 7/8"	33 1/2"	81 3/8"							
405	WR	Joey Hobert	Texas State			5' 11"	180										
406	TE	Joshua Simon	South Carolina			6' 4 1/8"	239	10 1/8"	33 7/8"	83"	4.66	1.58	38"	10'04"	7.22	4.40	
407	OL	Bryce Cabeldue	Kansas			6' 4 3/4"	306	9 1/8"	32 1/2"	80 3/8"							
408	OC	Cooper Mays	Tennessee	24.48	Age 24	6' 3"	310										
409	DB	Glendon Miller	Maryland			6' 2"	196	8 6/8"	32 1/4"	77 1/2"							
410	WR	Julian Fleming	Penn State	24.71	Age 24	6' 2"	209										
411	K	Tyler Loop	Arizona			6' 1"	190										
412	WR	Ja'seem Reed	San Diego			6' 2"	230										
413	DL	Joey Slackman	Florida	24.47	Age 24	6' 4"	300										
414	TE	Robbie Ouzts	Alabama			6' 3"	274	9 6/8"	31 1/4"	78 1/4"	4.91	1.64	34"	09'11"	7.34	4.45	26
415	LB	Jackson Woodard	UNLV			6' 2"	234	9 0/8"	31"	77 5/8"							
416	OL	Luke Newman	Michigan State			6' 3 1/2	312	9 2/8"	30 3/4"	76 1/4"							
417	Edge	Brian Ugwu	Miami (OH)			6' 3"	256										
418	OL	Nash Jones	Texas State			6' 3 7/8"	314	10 3/8"	33 1/4"	82 5/8"							
419	OG	Mose Vavao	Fresno State			6' 3"	317										
420	Edge	Nate Matlack	Pittsburgh	23.48		6' 5"	250										
421	Edge	Elijah Ponder	UCLA			6' 2 3/8"	257	10 1/8"	32 7/8"	80 1/8"							
422	QB	Donovan Smith	Houston	23.85		6' 5"	236										
423	DL	Sean Martin	West Virginia			6' 5 1/2"	293	10 5/8"	35"	84 1/2"	4.88	1.70	28.5"	09'04"	7.38		
424	OL	Gareth Warren	Lindenwood			6' 5 1/8"	330	9 5/8"	33 5/8"	79"							
425	QB	KJ Jefferson	UCF	24.29	Age 24	6' 3"	247										
426	QB	DJ Ulagalelei	Florida State	24.38	Age 24	6' 4"	252										
427	QB	Taylor Elgersma	Winfred Laurier (CN)	23.44		6' 6"	212										
